area_type,location,size,total_sqft,bath,balcony,price (in lakhs)
2,554,4.0,1200.0,4.0,2.0,155.0
3,1148,2.0,1296.0,2.0,3.0,80.0
3,402,3.0,1540.0,3.0,2.0,90.0
2,688,4.0,2894.0,4.0,1.0,245.0
3,1041,3.0,1330.0,2.0,1.0,48.0
0,373,2.0,1200.0,2.0,1.0,65.0
0,1306,3.0,1200.0,3.0,1.0,90.0
3,1267,3.0,2502.0,3.0,3.0,138.0
0,304,2.0,650.0,1.0,1.0,17.0
2,716,3.0,2400.0,2.0,1.0,150.0
3,475,2.0,1007.0,2.0,2.0,43.0
3,1065,2.0,1200.0,2.0,2.0,50.0
3,924,2.0,966.0,2.0,2.0,49.9
0,848,3.0,1630.0,2.0,1.0,98.0
0,976,3.0,1640.0,3.0,2.0,229.0
0,591,2.0,782.0,2.0,2.0,55.68
3,365,2.0,1260.0,2.0,2.0,66.78
3,1306,3.0,1800.0,3.0,3.0,120.0
3,283,3.0,1413.0,2.0,2.0,75.0
3,1252,2.0,1116.0,2.0,1.0,51.91
3,417,3.0,1530.0,2.0,1.0,45.9
0,990,4.0,3700.0,4.0,1.0,225.0
0,1039,3.0,2497.0,3.0,2.0,140.0
3,688,3.0,1540.0,2.0,3.0,64.0
3,1148,3.0,1436.0,3.0,1.0,74.75
3,786,2.0,1100.0,2.0,2.0,75.0
3,1148,3.0,1427.0,3.0,2.0,120.0
3,98,3.0,2061.0,3.0,1.0,200.0
0,1059,4.0,2650.0,4.0,2.0,150.0
3,365,3.0,1282.0,2.0,2.0,68.52
0,635,2.0,1050.0,2.0,1.0,34.0
0,737,3.0,1600.0,3.0,2.0,65.0
3,1187,2.0,945.0,2.0,1.0,54.0
3,535,2.0,1500.0,2.0,1.0,78.0
0,924,3.0,1870.0,3.0,3.0,110.0
2,1038,3.0,1600.0,3.0,1.0,75.0
3,417,2.0,880.0,1.0,1.0,16.5
3,722,3.0,1535.0,3.0,2.0,83.0
0,664,2.0,950.0,2.0,1.0,57.0
3,365,2.0,1360.0,2.0,1.0,65.0
3,271,3.0,1280.0,3.0,1.0,50.4
3,305,3.0,1260.0,2.0,2.0,85.05
3,1261,5.0,3050.0,5.0,1.0,213.0
3,670,3.0,1563.05,3.0,1.0,105.0
3,554,2.0,1000.0,2.0,1.0,60.0
3,118,2.0,1167.0,2.0,1.0,43.76
3,716,3.0,1828.0,3.0,2.0,110.0
3,690,2.0,890.0,2.0,1.0,35.0
3,222,3.0,1612.0,3.0,3.0,46.74
3,837,3.0,1710.0,4.0,2.0,91.31
3,665,2.0,957.0,2.0,1.0,58.0
3,5,3.0,1250.0,2.0,3.0,44.0
3,1306,3.0,2795.0,4.0,2.0,235.0
3,549,2.0,1125.0,2.0,2.0,50.0
3,419,2.0,1020.0,2.0,1.0,30.6
3,641,2.0,1200.0,2.0,2.0,50.0
3,1148,3.0,1735.0,3.0,3.0,135.0
3,1148,3.0,2050.0,3.0,1.0,145.0
0,1306,3.0,1350.0,2.0,3.0,48.0
3,536,2.0,1063.0,2.0,1.0,32.0
3,695,3.0,1904.0,3.0,1.0,150.0
3,1306,3.0,2000.0,3.0,1.0,175.0
3,1146,3.0,1425.0,2.0,2.0,75.0
3,417,3.0,1500.0,2.0,1.0,64.5
0,417,2.0,1060.0,2.0,1.0,60.0
0,1306,3.0,1470.0,2.0,2.0,70.0
3,417,2.0,1152.0,2.0,1.0,64.5
3,417,3.0,1350.0,2.0,1.0,56.0
3,292,3.0,1550.0,3.0,3.0,65.0
2,1306,3.0,1500.0,3.0,2.0,100.0
3,786,1.0,705.0,1.0,2.0,67.0
0,417,2.0,770.0,1.0,1.0,36.0
3,549,2.0,1242.0,2.0,3.0,51.0
3,514,3.0,1700.0,3.0,2.0,155.0
3,1148,3.0,2144.0,3.0,2.0,145.0
3,1222,3.0,1704.0,3.0,2.0,110.0
3,417,2.0,1070.0,2.0,1.0,52.0
2,75,3.0,1846.0,3.0,2.0,300.0
3,1306,2.0,1340.0,2.0,2.0,55.7
0,417,2.0,1025.0,2.0,1.0,46.0
3,799,2.0,1200.0,2.0,2.0,52.0
0,664,4.0,2250.0,4.0,1.0,110.0
3,922,3.0,1550.0,2.0,3.0,80.0
2,236,4.0,1200.0,5.0,2.0,325.0
3,799,2.0,1200.0,2.0,2.0,60.0
3,1261,2.0,1327.0,2.0,2.0,98.0
3,716,2.0,1186.0,2.0,2.0,58.0
0,768,3.0,1783.0,3.0,1.0,115.0
3,494,3.0,1400.0,3.0,2.0,56.0
3,851,2.0,980.0,2.0,1.0,48.0
3,415,2.0,1285.0,2.0,2.0,82.0
3,1306,3.0,912.0,2.0,1.0,70.0
0,1252,2.0,1225.0,2.0,2.0,47.6
3,1252,2.0,1075.0,2.0,1.0,53.0
0,635,3.0,1260.0,2.0,2.0,54.0
3,1261,3.0,1282.0,2.0,2.0,48.7
3,707,3.0,1909.0,3.0,2.0,88.0
3,914,2.0,1359.0,2.0,1.0,87.0
0,1306,2.0,1207.0,2.0,2.0,43.5
3,654,3.0,1595.0,3.0,2.0,65.0
0,1306,3.0,1798.0,3.0,2.0,89.0
3,422,3.0,1475.0,3.0,2.0,78.29
3,1306,3.0,1580.0,3.0,3.0,100.0
3,360,2.0,1295.0,2.0,1.0,65.0
3,1306,3.0,1415.0,3.0,3.0,78.0
3,1039,3.0,1787.0,3.0,2.0,98.29
3,1039,3.0,1787.0,3.0,2.0,125.0
3,713,3.0,1475.0,2.0,3.0,90.0
0,1306,4.0,2000.0,4.0,1.0,75.5
3,1039,2.0,984.0,2.0,1.0,44.28
3,365,3.0,1630.0,2.0,2.0,74.82
3,1306,3.0,2405.0,4.0,2.0,260.0
0,72,2.0,1080.0,2.0,2.0,72.0
2,1065,2.0,1500.0,2.0,1.0,115.0
3,513,3.0,1900.0,3.0,2.0,119.0
3,404,2.0,805.0,2.0,1.0,22.14
3,278,2.0,1153.0,2.0,2.0,56.4
3,383,2.0,1148.0,2.0,2.0,60.0
3,1306,2.0,1110.0,2.0,2.0,55.0
0,417,2.0,1100.0,2.0,2.0,42.0
3,646,2.0,1290.0,2.0,2.0,110.0
3,1306,3.0,1500.0,2.0,1.0,65.0
3,214,2.0,1080.0,2.0,2.0,39.0
3,1222,3.0,1933.0,3.0,1.0,129.0
0,990,5.0,3500.0,5.0,2.0,150.0
0,1306,2.0,1060.0,2.0,2.0,60.0
3,304,1.0,645.0,1.0,1.0,16.45
3,147,3.0,1644.0,3.0,3.0,84.0
3,1306,2.0,1285.0,2.0,3.0,72.5
2,417,3.0,1200.0,3.0,1.0,90.0
3,417,2.0,910.0,2.0,1.0,40.0
3,716,3.0,1577.0,3.0,1.0,70.0
2,820,3.0,4050.0,3.0,2.0,280.0
3,889,3.0,2420.0,3.0,2.0,185.0
3,304,2.0,800.0,1.0,1.0,20.0
0,116,2.0,1060.0,2.0,2.0,55.0
3,72,2.0,1270.0,2.0,2.0,93.0
3,1076,2.0,900.0,2.0,2.0,22.5
0,732,2.0,1280.0,2.0,1.0,69.0
0,1039,2.0,1025.0,2.0,2.0,36.0
3,417,2.0,1108.0,2.0,1.0,63.0
2,1306,5.0,1200.0,5.0,2.0,170.0
3,1306,3.0,3045.0,3.0,2.0,170.0
2,110,4.0,2900.0,3.0,2.0,300.0
3,1222,3.0,1500.0,3.0,2.0,75.5
3,972,2.0,1295.0,2.0,2.0,43.9
3,278,2.0,1162.0,2.0,1.0,59.9
3,1039,2.0,1035.0,2.0,2.0,49.2
3,1306,3.0,1464.0,3.0,2.0,46.0
3,522,3.0,1866.0,2.0,2.0,61.58
3,1306,2.0,700.0,1.0,1.0,26.0
3,641,3.0,1804.0,3.0,2.0,120.0
3,1038,2.0,913.0,2.0,1.0,32.0
3,1141,3.0,1868.0,3.0,2.0,131.0
0,690,2.0,883.0,2.0,1.0,45.0
2,1306,2.0,900.0,2.0,1.0,110.0
3,707,3.0,1664.0,2.0,3.0,73.95
3,515,3.0,2026.0,3.0,2.0,132.0
3,188,2.0,1210.0,2.0,1.0,80.9
2,820,4.0,4111.0,4.0,2.0,250.0
3,635,3.0,1762.0,3.0,3.0,91.45
3,606,3.0,1252.0,3.0,3.0,55.0
0,461,2.0,861.0,2.0,1.0,34.5
0,72,3.0,1420.0,2.0,1.0,100.0
0,422,3.0,1490.0,3.0,1.0,78.8
3,268,3.0,1075.0,2.0,1.0,46.0
3,896,3.0,1425.0,2.0,2.0,94.0
0,641,2.0,1200.0,2.0,1.0,40.0
3,637,3.0,1280.0,2.0,2.0,56.0
3,1306,2.0,1084.0,2.0,2.0,50.0
3,304,2.0,1015.0,2.0,2.0,25.88
3,664,2.0,1017.0,2.0,1.0,51.25
3,506,2.0,1027.0,2.0,2.0,44.0
3,419,2.0,1069.0,2.0,2.0,45.0
3,513,2.0,1349.0,2.0,1.0,98.2
3,77,2.0,1005.0,2.0,1.0,50.0
3,584,2.0,1417.0,2.0,3.0,75.0
2,1138,3.0,1475.0,3.0,1.0,98.0
1,810,2.0,950.0,2.0,2.0,47.0
2,453,3.0,880.0,3.0,1.0,140.0
3,1039,4.0,1863.0,3.0,2.0,104.0
3,1084,2.0,1010.0,2.0,1.0,29.5
3,641,3.0,1425.0,2.0,1.0,70.0
3,716,3.0,1847.0,3.0,2.0,105.0
3,80,2.0,1100.0,2.0,3.0,45.0
3,783,3.0,1665.0,3.0,2.0,95.0
3,231,4.0,1664.0,4.0,3.0,65.0
3,575,3.0,1850.0,3.0,3.0,150.0
3,914,2.0,1438.0,2.0,3.0,100.0
3,1306,3.0,1560.0,3.0,3.0,115.0
3,1261,2.0,1350.0,2.0,1.0,55.55
3,664,3.0,1550.0,3.0,3.0,67.0
3,785,2.0,1140.0,2.0,2.0,46.5
2,1105,5.0,1200.0,5.0,2.0,180.0
3,1306,2.0,850.0,2.0,2.0,27.0
3,1252,2.0,1280.0,2.0,2.0,75.0
0,832,2.0,1170.0,2.0,2.0,52.0
3,826,2.0,1113.0,2.0,1.0,51.0
3,522,2.0,1385.0,2.0,1.0,83.09
3,417,2.0,1128.0,2.0,1.0,65.0
2,799,2.0,1200.0,2.0,2.0,128.0
2,99,4.0,1200.0,4.0,3.0,165.0
2,453,4.0,2400.0,4.0,1.0,400.0
3,506,3.0,1464.0,3.0,2.0,56.0
3,788,2.0,1200.0,2.0,2.0,55.0
3,678,2.0,1200.0,2.0,2.0,52.0
3,638,3.0,1150.0,2.0,1.0,55.0
0,1306,3.0,1645.0,3.0,2.0,95.0
3,1039,2.0,1000.0,2.0,1.0,67.0
2,506,4.0,2650.0,4.0,2.0,198.0
3,67,2.0,1192.0,2.0,2.0,74.0
3,1176,3.0,2135.0,3.0,2.0,215.0
3,1252,2.0,1173.0,2.0,1.0,58.0
0,1179,2.0,1020.0,2.0,2.0,45.0
3,1089,3.0,1600.0,3.0,3.0,64.0
1,1306,2.0,1230.0,2.0,3.0,48.0
3,5,2.0,1250.0,2.0,2.0,40.0
3,641,2.0,1325.0,2.0,2.0,76.0
0,72,3.0,1850.0,3.0,1.0,150.0
3,225,2.0,1200.0,2.0,2.0,65.0
3,270,3.0,1260.0,3.0,1.0,49.36
0,139,2.0,1100.0,2.0,1.0,43.25
3,509,2.0,1508.0,2.0,1.0,77.0
1,1306,3.0,1592.0,3.0,2.0,75.0
3,98,2.0,1388.0,2.0,3.0,57.0
3,419,1.0,630.0,1.0,1.0,28.35
2,1306,3.0,2000.0,3.0,2.0,365.0
3,1306,3.0,1762.0,3.0,1.0,125.0
3,1306,2.0,950.0,2.0,2.0,50.0
3,705,4.0,3252.0,5.0,3.0,335.0
3,772,2.0,1116.0,2.0,1.0,50.0
3,869,2.0,1308.0,2.0,2.0,89.04
2,1306,4.0,1500.0,4.0,2.0,230.0
3,518,2.0,1075.0,2.0,1.0,52.0
0,236,2.0,1205.0,2.0,3.0,66.0
3,62,2.0,1075.0,2.0,2.0,60.0
0,626,2.0,930.0,2.0,2.0,39.0
3,188,2.0,1380.0,2.0,1.0,60.0
3,513,4.0,2483.0,5.0,2.0,212.0
0,703,2.0,1166.0,2.0,2.0,55.0
3,216,2.0,1050.0,2.0,1.0,65.0
3,463,3.0,2023.71,3.0,2.0,275.0
3,232,2.0,1200.0,2.0,2.0,46.8
3,745,3.0,1600.0,2.0,1.0,108.0
3,264,3.0,1935.0,3.0,2.0,110.0
3,417,3.0,1800.0,3.0,2.0,95.0
3,515,3.0,1801.0,3.0,2.0,115.0
0,773,2.0,1451.0,2.0,2.0,90.0
2,126,2.0,1200.0,1.0,1.0,36.0
3,232,2.0,1160.0,2.0,2.0,44.0
0,688,2.0,1000.0,2.0,1.0,25.0
3,664,2.0,950.0,2.0,1.0,40.0
0,531,3.0,1629.0,3.0,2.0,79.0
3,1222,3.0,1826.0,3.0,2.0,121.0
0,72,2.0,1245.0,2.0,1.0,94.0
3,972,2.0,1145.0,2.0,2.0,45.79
3,1091,2.0,825.0,2.0,1.0,33.0
3,1267,3.0,1693.0,3.0,3.0,108.0
3,422,2.0,1113.27,2.0,2.0,53.0
0,144,2.0,1460.0,2.0,1.0,58.0
0,396,2.0,1050.0,2.0,1.0,32.0
0,382,2.0,1260.0,2.0,2.0,55.0
0,544,2.0,1656.0,2.0,1.0,120.0
3,304,3.0,1208.0,3.0,1.0,45.0
3,1252,3.0,1910.0,3.0,2.0,161.0
3,1252,4.0,3252.0,4.0,1.0,230.0
2,230,2.0,1200.0,2.0,1.0,65.0
3,1306,4.0,1200.0,4.0,1.0,175.0
3,72,2.0,1175.0,2.0,1.0,82.0
3,1306,2.0,1185.0,2.0,2.0,38.0
3,688,2.0,750.0,2.0,1.0,38.0
3,664,3.0,1550.0,3.0,3.0,64.5
0,1306,3.0,1760.0,3.0,2.0,88.0
3,264,2.0,1125.0,2.0,2.0,62.0
2,848,3.0,1350.0,3.0,2.0,150.0
2,118,2.0,1000.0,2.0,1.0,55.0
0,271,2.0,1090.0,2.0,2.0,31.48
3,278,3.0,1991.0,4.0,2.0,103.0
3,270,2.0,1060.0,2.0,1.0,26.5
3,108,2.0,1105.0,2.0,1.0,75.0
0,530,2.0,985.0,2.0,2.0,67.0
3,188,3.0,1590.0,3.0,2.0,79.0
3,292,2.0,1120.0,2.0,2.0,55.0
3,1028,2.0,1069.0,2.0,1.0,55.0
3,799,3.0,1933.0,3.0,2.0,140.0
3,277,2.0,1150.0,2.0,3.0,69.0
3,1264,2.0,1240.0,2.0,2.0,47.12
3,972,2.0,1419.0,2.0,2.0,48.1
3,1006,3.0,2150.0,4.0,2.0,240.0
3,1306,3.0,1450.0,3.0,2.0,55.0
3,1306,3.0,1630.0,3.0,2.0,68.29
3,358,2.0,708.0,1.0,1.0,40.0
2,670,3.0,1000.0,4.0,3.0,110.0
3,236,2.0,1250.0,2.0,1.0,76.0
3,72,3.0,1400.0,2.0,1.0,95.0
3,1039,3.0,1670.0,2.0,3.0,57.0
3,139,3.0,1750.0,3.0,2.0,100.0
3,1242,2.0,1404.0,2.0,1.0,71.0
3,530,3.0,1715.0,2.0,2.0,95.0
0,417,1.0,630.0,1.0,1.0,34.65
3,509,3.0,1752.12,3.0,2.0,135.0
3,549,3.0,1650.0,3.0,2.0,78.0
3,972,2.0,1295.0,2.0,1.0,55.47
2,453,3.0,1800.0,3.0,2.0,252.0
3,1039,2.0,1346.0,2.0,1.0,74.03
2,1306,4.0,1200.0,4.0,2.0,200.0
3,535,2.0,1150.0,2.0,2.0,55.0
0,1306,4.0,3309.0,4.0,3.0,325.0
3,304,3.0,1190.0,2.0,2.0,30.35
3,80,3.0,1620.0,3.0,2.0,98.0
3,799,2.0,950.0,2.0,1.0,46.96
3,419,3.0,1220.0,2.0,1.0,35.23
3,547,2.0,850.0,2.0,1.0,30.0
0,907,2.0,1020.0,2.0,2.0,63.0
0,326,2.0,1100.0,2.0,2.0,50.0
3,362,2.0,1150.0,2.0,2.0,126.0
3,513,3.0,1760.0,2.0,2.0,130.0
3,108,3.0,1800.0,3.0,3.0,110.0
3,98,2.0,1070.0,2.0,1.0,54.0
2,43,4.0,1500.0,4.0,2.0,220.0
3,114,2.0,900.0,2.0,1.0,40.0
0,1306,4.0,1200.0,4.0,1.0,230.0
3,1252,2.0,1130.0,2.0,1.0,42.16
3,713,2.0,1320.0,2.0,1.0,165.0
3,704,2.0,1270.0,2.0,1.0,98.0
0,1306,2.0,1200.0,2.0,1.0,62.0
3,1306,4.0,4800.0,4.0,2.0,235.0
3,1306,2.0,1200.0,2.0,1.0,74.0
0,954,4.0,1150.0,4.0,2.0,260.0
2,223,4.0,1125.0,4.0,3.0,180.0
2,47,5.0,1200.0,5.0,2.0,190.0
3,1306,3.0,1464.0,3.0,2.0,56.0
3,72,4.0,3600.0,4.0,3.0,400.0
2,1306,4.0,2000.0,4.0,2.0,99.0
3,326,2.0,1208.0,2.0,1.0,49.0
3,514,2.0,1130.0,2.0,2.0,60.0
3,1306,3.0,1753.0,3.0,2.0,120.0
3,530,2.0,1196.0,2.0,2.0,94.42
0,62,2.0,1150.0,3.0,3.0,52.5
3,417,2.0,1128.0,2.0,1.0,63.0
3,1306,2.0,1000.0,2.0,1.0,53.0
3,1261,2.0,1035.0,2.0,1.0,45.0
0,694,2.0,950.0,2.0,1.0,32.0
3,268,3.0,1075.0,2.0,1.0,36.0
3,1252,2.0,1040.0,2.0,1.0,48.5
2,797,2.0,720.0,2.0,1.0,45.0
3,757,3.0,1511.0,3.0,1.0,95.0
0,1306,3.0,1300.0,3.0,1.0,58.0
3,530,3.0,1545.0,3.0,1.0,68.75
3,1216,2.0,1062.0,2.0,3.0,38.0
3,1306,2.0,1115.0,2.0,1.0,40.0
3,575,2.0,1000.0,2.0,1.0,35.0
3,650,2.0,883.0,2.0,1.0,45.0
3,1039,2.0,1195.0,2.0,1.0,70.0
2,1306,4.0,1200.0,3.0,1.0,165.0
3,1242,2.0,1246.0,2.0,1.0,67.0
2,74,4.0,660.0,4.0,2.0,90.0
3,1306,4.0,1600.0,4.0,1.0,80.0
3,506,4.0,2805.0,5.0,3.0,154.0
3,232,3.0,1584.0,3.0,2.0,65.0
2,1053,4.0,3000.0,5.0,1.0,275.0
0,544,3.0,1175.0,2.0,2.0,48.0
0,1306,3.0,1595.0,3.0,2.0,115.0
3,1306,2.0,1353.0,2.0,2.0,110.0
3,417,3.0,1599.0,3.0,2.0,125.0
3,1252,2.0,1150.0,2.0,1.0,70.0
3,626,2.0,1155.0,2.0,2.0,42.74
3,419,2.0,1000.0,2.0,1.0,25.0
3,1148,4.0,3000.0,4.0,2.0,120.0
0,986,3.0,1867.0,3.0,1.0,160.0
3,987,2.0,1251.0,2.0,1.0,47.0
3,1306,2.0,1028.0,2.0,1.0,45.5
3,142,2.0,1222.0,2.0,2.0,45.0
3,216,3.0,1170.0,2.0,1.0,66.0
3,513,3.0,2400.0,4.0,1.0,245.0
3,1306,3.0,1385.0,2.0,2.0,48.48
3,494,2.0,1372.0,2.0,1.0,68.0
3,772,3.0,1282.0,2.0,2.0,49.0
3,664,2.0,1135.0,2.0,1.0,39.73
0,1252,3.0,1768.0,3.0,2.0,101.0
0,283,3.0,1325.0,2.0,1.0,90.0
3,417,3.0,1599.0,3.0,2.0,99.0
2,1252,3.0,1500.0,3.0,1.0,61.95
3,1179,2.0,1286.0,2.0,2.0,63.0
0,653,5.0,2845.0,5.0,1.0,140.0
3,1306,3.0,1600.0,2.0,2.0,50.0
3,513,3.0,3450.0,5.0,2.0,260.0
3,832,2.0,1102.0,2.0,2.0,53.67
3,1261,2.0,1350.0,2.0,2.0,54.0
3,194,3.0,1200.0,2.0,2.0,42.0
2,1306,2.0,1800.0,1.0,1.0,80.0
0,319,2.0,950.0,2.0,1.0,40.0
0,152,2.0,656.0,2.0,1.0,25.0
2,799,4.0,1780.0,4.0,3.0,175.0
3,47,2.0,1056.0,2.0,1.0,80.0
0,570,2.0,1080.0,2.0,2.0,50.0
3,72,3.0,2225.0,3.0,1.0,160.0
3,270,2.0,1126.0,2.0,1.0,28.15
3,422,3.0,1490.0,3.0,1.0,84.0
2,493,4.0,2000.0,4.0,1.0,300.0
3,1039,3.0,1550.0,3.0,3.0,100.0
3,1306,3.0,1600.0,3.0,2.0,86.0
0,1306,2.0,1160.0,2.0,1.0,55.0
0,1252,4.0,4144.0,4.0,3.0,315.0
3,1039,3.0,2100.0,3.0,2.0,125.0
3,1242,2.0,1404.0,2.0,1.0,69.3
2,1039,4.0,2230.0,4.0,3.0,225.0
3,1306,3.0,1544.0,3.0,2.0,120.0
3,203,3.0,1305.0,2.0,1.0,58.7
3,799,2.0,1230.0,2.0,2.0,80.0
3,509,3.0,1460.0,3.0,1.0,73.0
2,1039,2.0,1800.0,2.0,2.0,34.185
0,466,2.0,967.0,2.0,3.0,45.0
3,535,1.0,715.0,1.0,2.0,46.0
3,1252,3.0,2500.0,3.0,2.0,313.0
3,1306,3.0,1578.0,3.0,1.0,180.0
3,837,2.0,1020.0,2.0,1.0,48.95
3,606,2.0,1020.0,2.0,1.0,40.0
3,713,2.0,1253.0,2.0,1.0,102.0
3,1306,2.0,1180.0,2.0,2.0,42.0
3,879,2.0,961.0,2.0,2.0,38.0
0,658,3.0,1419.0,3.0,3.0,75.0
3,509,3.0,1709.0,3.0,2.0,150.0
1,1033,2.0,1100.0,2.0,2.0,98.0
3,494,3.0,1430.0,2.0,1.0,65.0
3,1306,2.0,1260.0,2.0,2.0,45.0
0,1306,3.0,1630.0,3.0,2.0,85.0
3,1039,3.0,1249.0,3.0,2.0,44.71
3,641,3.0,1450.0,2.0,3.0,85.0
3,708,3.0,2791.0,3.0,1.0,223.0
0,1306,1.0,834.0,1.0,1.0,60.0
2,1306,3.0,1125.0,4.0,1.0,70.0
3,142,3.0,2060.0,3.0,2.0,140.0
0,466,2.0,891.0,2.0,1.0,25.0
3,972,2.0,1133.0,2.0,1.0,49.07
0,268,3.0,1075.0,2.0,1.0,37.0
3,1306,4.0,3000.0,5.0,2.0,260.0
0,1216,2.0,1200.0,2.0,2.0,55.0
3,1148,2.0,1075.0,2.0,2.0,45.8
3,637,2.0,1140.0,2.0,2.0,40.0
2,803,5.0,940.0,4.0,2.0,150.0
3,972,2.0,1090.0,2.0,1.0,42.0
0,948,4.0,1500.0,4.0,1.0,70.0
3,1252,4.0,4104.0,4.0,2.0,360.0
3,1252,3.0,1790.0,3.0,2.0,100.0
3,513,3.0,1920.0,3.0,2.0,134.0
0,493,2.0,1374.0,2.0,2.0,95.0
1,216,3.0,1445.0,3.0,2.0,95.0
3,658,1.0,711.0,1.0,1.0,36.0
3,1168,3.0,1500.0,3.0,3.0,95.0
3,1252,3.0,1720.0,3.0,3.0,100.0
3,1196,3.0,1400.0,3.0,2.0,60.0
0,731,2.0,1030.0,2.0,2.0,49.0
3,837,2.0,1200.0,2.0,1.0,85.0
1,1306,3.0,1375.0,3.0,2.0,70.0
2,515,2.0,1050.0,1.0,2.0,56.0
3,589,3.0,2250.0,3.0,2.0,160.0
3,236,2.0,1000.0,2.0,2.0,50.0
3,799,4.0,3800.0,4.0,3.0,250.0
3,650,2.0,883.0,2.0,1.0,29.0
3,433,3.0,1820.0,2.0,3.0,86.0
0,1084,3.0,1440.0,2.0,3.0,65.0
0,786,4.0,2500.0,5.0,2.0,325.0
3,773,2.0,1225.0,2.0,2.0,48.0
1,326,2.0,875.0,2.0,3.0,52.8
3,590,1.0,750.0,1.0,2.0,40.0
3,67,2.0,1180.0,2.0,3.0,80.0
3,506,2.0,1194.0,2.0,2.0,47.0
3,522,3.0,1500.0,2.0,2.0,62.0
3,1306,2.0,1160.0,2.0,2.0,52.2
3,539,3.0,2378.0,3.0,1.0,262.0
3,1038,2.0,1128.0,2.0,1.0,60.0
3,513,3.0,1500.0,3.0,1.0,150.0
0,552,3.0,1220.0,2.0,1.0,35.23
3,1039,2.0,1210.0,2.0,2.0,58.0
3,664,3.0,1100.0,2.0,1.0,58.0
3,270,3.0,1200.0,3.0,2.0,46.0
